date,area,cum_area
2019-07-01,0,0
2019-07-02,0,0
2019-07-03,0,0
2019-07-04,0,0
2019-07-05,0,0
2019-07-06,0,0
2019-07-07,0,0
2019-07-08,0,0
2019-07-09,0,0
2019-07-10,1.2171471788062485,1.2171471788062485
2019-07-11,0,1.2171471788062485
2019-07-12,4287.537406204737,4288.754553383543
2019-07-13,0,4288.754553383543
2019-07-14,29.047096842634765,4317.801650226178
2019-07-15,0,4317.801650226178
2019-07-16,0,4317.801650226178
2019-07-17,944.9420094971481,5262.743659723325
2019-07-18,0,5262.743659723325
2019-07-19,0,5262.743659723325
2019-07-20,1.0637928625658184,5263.807452585892
2019-07-21,0,5263.807452585892
2019-07-22,0,5263.807452585892
2019-07-23,0,5263.807452585892
2019-07-24,0,5263.807452585892
2019-07-25,5.180071770823911,5268.987524356716
2019-07-26,5909.685797763225,11178.673322119941
2019-07-27,0.5049456259162893,11179.178267745858
2019-07-28,6.6314975182825115,11185.809765264139
2019-07-29,0,11185.809765264139
2019-07-30,0,11185.809765264139
2019-07-31,54.54217834376057,11240.3519436079
2019-08-01,0,11240.3519436079
2019-08-02,0,11240.3519436079
2019-08-03,978.5690307073362,12218.920974315237
2019-08-04,4311.849605252978,16530.770579568216
2019-08-05,0,16530.770579568216
2019-08-06,409.72234887122886,16940.492928439442
2019-08-07,3288.999627178679,20229.492555618122
2019-08-08,9957.436495393182,30186.929051011306
2019-08-09,7446.173519197569,37633.102570208874
2019-08-10,1813.026911234685,39446.12948144356
2019-08-11,652.8975562322689,40099.02703767583
2019-08-12,896.9631654549238,40995.99020313075
2019-08-13,0,40995.99020313075
2019-08-14,2045.526512481409,43041.51671561216
2019-08-15,135.83591840937527,43177.35263402153
2019-08-16,1002.5128061502687,44179.8654401718
2019-08-17,719.3461188103664,44899.21155898217
2019-08-18,3.44276895232223,44902.65432793449
2019-08-19,4.136980571529276,44906.79130850602
2019-08-20,152.10605276045598,45058.89736126648
2019-08-21,87.29771932840556,45146.19508059488
2019-08-22,0,45146.19508059488
2019-08-23,31.256385600679156,45177.45146619556
2019-08-24,363.3894601387754,45540.840926334335
2019-08-25,0,45540.840926334335
2019-08-26,0,45540.840926334335
2019-08-27,132.65599599461976,45673.49692232896
2019-08-28,0,45673.49692232896
2019-08-29,0,45673.49692232896
2019-08-30,113778.93247761243,159452.42939994138
2019-08-31,0,159452.42939994138
2019-09-01,10981.854818977197,170434.2842189186
2019-09-02,0,170434.2842189186
2019-09-03,0,170434.2842189186
2019-09-04,0,170434.2842189186
2019-09-05,125142.37309179555,295576.65731071413
2019-09-06,13471.7173628044,309048.3746735185
2019-09-07,18.852874374376512,309067.2275478929
2019-09-08,37079.93005020153,346147.15759809443
2019-09-09,0,346147.15759809443
2019-09-10,0,346147.15759809443
2019-09-11,0.24729818187288655,346147.4048962763
2019-09-12,17.539671975920097,346164.94456825225
2019-09-13,172.2401758355016,346337.18474408775
2019-09-14,0,346337.18474408775
2019-09-15,0,346337.18474408775
2019-09-16,0,346337.18474408775
2019-09-17,1311.8760828633137,347649.06082695106
2019-09-18,0.2385261637656989,347649.2993531148
2019-09-19,0,347649.2993531148
2019-09-20,0,347649.2993531148
2019-09-21,74163.24583356713,421812.54518668196
2019-09-22,0.0060902603656801035,421812.5512769423
2019-09-23,0,421812.5512769423
2019-09-24,0,421812.5512769423
2019-09-25,0.3923489694857517,421812.9436259118
2019-09-26,315.993635511003,422128.9372614228
2019-09-27,0,422128.9372614228
2019-09-28,262.65923489448966,422391.5964963173
2019-09-29,0,422391.5964963173
2019-09-30,0.04511252684003855,422391.6416088441
2019-10-01,4.4881178526561865,422396.12972669676
2019-10-02,254.37091976126626,422650.50064645807
2019-10-03,52675.28961416705,475325.7902606251
2019-10-04,0,475325.7902606251
2019-10-05,0,475325.7902606251
2019-10-06,0.3063053872226955,475326.0965660123
2019-10-07,0,475326.0965660123
2019-10-08,7.578835741564765,475333.67540175386
2019-10-09,0,475333.67540175386
2019-10-10,7.66811106718073,475341.34351282107
2019-10-11,0,475341.34351282107
2019-10-12,13.737560168731244,475355.0810729898
2019-10-13,0,475355.0810729898
2019-10-14,0,475355.0810729898
2019-10-15,6.369801963503784,475361.4508749533
2019-10-16,447642.1777903513,923003.6286653046
2019-10-17,159239.98625389428,1082243.614919199
2019-10-18,2.4091616477467985,1082246.0240808467
2019-10-19,0,1082246.0240808467
2019-10-20,0,1082246.0240808467
2019-10-21,415.0714221721433,1082661.0955030187
2019-10-22,81.23815585364956,1082742.3336588724
2019-10-23,40658.56301901878,1123400.8966778913
2019-10-24,93616.22923193591,1217017.1259098272
2019-10-25,536928.5511822026,1753945.6770920297
2019-10-26,106484.70209522455,1860430.3791872542
2019-10-27,16553.666557547243,1876984.0457448016
2019-10-28,0.07574957475808396,1876984.1214943763
2019-10-29,112483.18753212201,1989467.3090264983
2019-10-30,7.805192658501013,1989475.1142191568
2019-10-31,5.733066214333764,1989480.8472853713
2019-11-01,13.53613459853981,1989494.3834199698
2019-11-02,51.435693772901615,1989545.8191137426
2019-11-03,174909.5853097739,2164455.4044235167
2019-11-04,0.3840500822495258,2164455.7884735987
2019-11-05,2.298337605237548,2164458.086811204
2019-11-06,11159.414221802832,2175617.5010330067
2019-11-07,37733.71690437688,2213351.217937384
2019-11-08,0,2213351.217937384
2019-11-09,0.006824157462529493,2213351.224761541
2019-11-10,0,2213351.224761541
2019-11-11,38.72665720693807,2213389.951418748
2019-11-12,0.10767377962662658,2213390.0590925277
2019-11-13,22833.50357050871,2236223.5626630364
