Date,lat_group,param,value
2019-07-18,4,PM10,5.3214270825
2019-07-18,4,PM25,3.8706458324999997
2019-07-18,3,PM10,14.041486109666668
2019-07-18,3,PM25,7.256632594777778
2019-07-18,2,PM10,12.884969900277778
2019-07-18,2,PM25,5.835665132472222
2019-07-18,1,PM10,6.7581331845
2019-07-18,1,PM25,3.23896696975
2019-07-19,4,PM10,10.363989582499999
2019-07-19,4,PM25,7.3008055555
2019-07-19,3,PM10,18.424958334000003
2019-07-19,3,PM25,10.639486133777778
2019-07-19,2,PM10,16.87994023583333
2019-07-19,2,PM25,8.604970673472222
2019-07-19,1,PM10,9.953890625
2019-07-19,1,PM25,4.566762455125
2019-07-20,4,PM10,12.33443750075
2019-07-20,4,PM25,9.094523097749999
2019-07-20,3,PM10,20.30781018633333
2019-07-20,3,PM25,12.132297175666666
2019-07-20,2,PM10,19.542042823888888
2019-07-20,2,PM25,11.3599107055
2019-07-20,1,PM10,10.108369791625
2019-07-20,1,PM25,6.58598214225
2019-07-21,4,PM10,13.59043750075
2019-07-21,4,PM25,10.315376810750001
2019-07-21,3,PM10,23.141032406666667
2019-07-21,3,PM25,11.760581509222224
2019-07-21,2,PM10,22.825610984166666
2019-07-21,2,PM25,13.374977256444446
2019-07-21,1,PM10,11.418692708750001
2019-07-21,1,PM25,7.268517901875
2019-07-22,4,PM10,11.35534375
2019-07-22,4,PM25,8.2952743065
2019-07-22,3,PM10,20.44562037111111
2019-07-22,3,PM25,9.717049112222222
2019-07-22,2,PM10,23.24719512536111
2019-07-22,2,PM25,11.401397568694444
2019-07-22,1,PM10,16.1949916675
2019-07-22,1,PM25,6.5230061555
2019-07-23,4,PM10,8.454770834249999
2019-07-23,4,PM25,5.2772458325
2019-07-23,3,PM10,22.626412036666668
2019-07-23,3,PM25,9.194071676333333
2019-07-23,2,PM10,19.854501684055556
2019-07-23,2,PM25,9.647956461972221
2019-07-23,1,PM10,11.47768709875
2019-07-23,1,PM25,5.6621633706250005
2019-07-24,4,PM10,7.1642604167499995
2019-07-24,4,PM25,3.945095238
2019-07-24,3,PM10,20.549875
2019-07-24,3,PM25,8.869682140777778
2019-07-24,2,PM10,17.923981280083336
2019-07-24,2,PM25,7.0348611559166665
2019-07-24,1,PM10,10.62610416625
2019-07-24,1,PM25,3.8339344655
2019-07-25,4,PM10,9.99260416575
2019-07-25,4,PM25,6.468544508500001
2019-07-25,3,PM10,22.03883796111111
2019-07-25,3,PM25,11.806060900333334
2019-07-25,2,PM10,20.033208964916668
2019-07-25,2,PM25,9.030305199138889
2019-07-25,1,PM10,14.519229165
2019-07-25,1,PM25,5.4203129118749995
2019-07-26,4,PM10,11.735739582499999
2019-07-26,4,PM25,7.93706521625
2019-07-26,3,PM10,25.69569444444444
2019-07-26,3,PM25,11.746116349333333
2019-07-26,2,PM10,25.72127399575
2019-07-26,2,PM25,12.696020943222223
2019-07-26,1,PM10,14.08801562375
2019-07-26,1,PM25,5.938224701875
2019-07-27,4,PM10,10.10648958325
2019-07-27,4,PM25,6.6201755945
2019-07-27,3,PM10,24.625898149999998
2019-07-27,3,PM25,12.824785944111111
2019-07-27,2,PM10,19.718335025083334
2019-07-27,2,PM25,10.685645728472222
2019-07-27,1,PM10,11.3034739575
2019-07-27,1,PM25,6.460270133375
2019-07-28,4,PM10,12.21776041675
2019-07-28,4,PM25,7.478441124000001
2019-07-28,3,PM10,21.934231483333335
2019-07-28,3,PM25,12.310740134222222
2019-07-28,2,PM10,17.770333132666664
2019-07-28,2,PM25,12.133904970805554
2019-07-28,1,PM10,9.92892708375
2019-07-28,1,PM25,8.0984857675
2019-07-29,4,PM10,11.4704479175
2019-07-29,4,PM25,7.24523958325
2019-07-29,3,PM10,21.81512963
2019-07-29,3,PM25,10.628610692444445
2019-07-29,2,PM10,19.475608101666666
2019-07-29,2,PM25,9.995074685916666
2019-07-29,1,PM10,8.93842708375
2019-07-29,1,PM25,4.3638892700000005
2019-07-30,4,PM10,8.7074791675
2019-07-30,4,PM25,5.43081060525
2019-07-30,3,PM10,13.985069444444443
2019-07-30,3,PM25,7.637308747333332
2019-07-30,2,PM10,11.166297033194445
2019-07-30,2,PM25,6.1048188885000005
2019-07-30,1,PM10,6.848932292125
2019-07-30,1,PM25,3.723045516125
2019-07-31,4,PM10,8.41996875
2019-07-31,4,PM25,7.2731041675
2019-07-31,3,PM10,13.375759258555554
2019-07-31,3,PM25,7.261349005666667
2019-07-31,2,PM10,12.155274347833334
2019-07-31,2,PM25,5.514700684444445
2019-07-31,1,PM10,9.712609375
2019-07-31,1,PM25,5.18295383075
2019-08-01,4,PM10,7.0757708325
2019-08-01,4,PM25,5.32272916575
2019-08-01,3,PM10,15.841328703333334
2019-08-01,3,PM25,7.4140036801111115
2019-08-01,2,PM10,14.363151760194446
2019-08-01,2,PM25,7.022618793055555
2019-08-01,1,PM10,12.893989583749999
2019-08-01,1,PM25,5.790221208875
2019-08-02,4,PM10,8.885885417499999
2019-08-02,4,PM25,6.33563541575
2019-08-02,3,PM10,17.40229850888889
2019-08-02,3,PM25,9.422568238222222
2019-08-02,2,PM10,16.734327419805552
2019-08-02,2,PM25,8.8199262535
2019-08-02,1,PM10,10.96614583375
2019-08-02,1,PM25,6.253965436
2019-08-03,4,PM10,8.951364584250001
2019-08-03,4,PM25,5.823635416749999
2019-08-03,3,PM10,21.49286574111111
2019-08-03,3,PM25,10.468971257
2019-08-03,2,PM10,18.33575161075
2019-08-03,2,PM25,11.170257131666666
2019-08-03,1,PM10,11.360259469625
2019-08-03,1,PM25,6.3638783256249996
2019-08-04,4,PM10,9.63696875075
2019-08-04,4,PM25,6.53925000075
2019-08-04,3,PM10,23.64251388888889
2019-08-04,3,PM25,10.829435593777779
2019-08-04,2,PM10,19.42597569452778
2019-08-04,2,PM25,10.831731966361112
2019-08-04,1,PM10,9.366328124999999
2019-08-04,1,PM25,4.929843976
2019-08-05,4,PM10,9.79221875075
2019-08-05,4,PM25,5.47998958325
2019-08-05,3,PM10,23.69550926
2019-08-05,3,PM25,10.984414504666667
2019-08-05,2,PM10,22.675258311388887
2019-08-05,2,PM25,11.858145041833332
2019-08-05,1,PM10,15.129802085
2019-08-05,1,PM25,6.923934144
2019-08-06,4,PM10,10.825739584249998
2019-08-06,4,PM25,6.414
2019-08-06,3,PM10,24.24482870222222
2019-08-06,3,PM25,10.404883889444443
2019-08-06,2,PM10,23.42159985297222
2019-08-06,2,PM25,11.29618873675
2019-08-06,1,PM10,13.64529891375
2019-08-06,1,PM25,5.743145586
2019-08-07,4,PM10,11.8755625
2019-08-07,4,PM25,7.3033836042499996
2019-08-07,3,PM10,26.241888888888887
2019-08-07,3,PM25,10.257243024333333
2019-08-07,2,PM10,25.982289848055554
2019-08-07,2,PM25,11.043254311111111
2019-08-07,1,PM10,13.5755332875
2019-08-07,1,PM25,5.427356554
2019-08-08,4,PM10,19.8254375
2019-08-08,4,PM25,6.05207480975
2019-08-08,3,PM10,51.359322222222225
2019-08-08,3,PM25,15.51946206188889
2019-08-08,2,PM10,26.980440469805554
2019-08-08,2,PM25,9.584585875416668
2019-08-08,1,PM10,15.836354167125
2019-08-08,1,PM25,3.837639389875
2019-08-09,4,PM10,10.9178645825
2019-08-09,4,PM25,1.86323958325
2019-08-09,3,PM10,49.47165277333333
2019-08-09,3,PM25,12.362078875444444
2019-08-09,2,PM10,38.25492413686111
2019-08-09,2,PM25,8.873290544583334
2019-08-09,1,PM10,21.698684184999998
2019-08-09,1,PM25,3.233058424
2019-08-10,4,PM10,13.9736666675
2019-08-10,4,PM25,2.65292708325
2019-08-10,3,PM10,24.239433081111113
2019-08-10,3,PM25,6.203641705333333
2019-08-10,2,PM10,11.605748511888889
2019-08-10,2,PM25,3.705286963972222
2019-08-10,1,PM10,6.624322916625
2019-08-10,1,PM25,1.7002430005
2019-08-11,4,PM10,7.7816145825
2019-08-11,4,PM25,1.81865625
2019-08-11,3,PM10,15.509745370444445
2019-08-11,3,PM25,5.389225307888889
2019-08-11,2,PM10,9.180451003
2019-08-11,2,PM25,3.8812568325
2019-08-11,1,PM10,5.00733333325
2019-08-11,1,PM25,2.23410219325
2019-08-12,4,PM10,3.19544791675
2019-08-12,4,PM25,2.7937889609999997
2019-08-12,3,PM10,10.730120370333331
2019-08-12,3,PM25,8.628432008222223
2019-08-12,2,PM10,12.814034300805556
2019-08-12,2,PM25,5.789204451194444
2019-08-12,1,PM10,6.520013020375
2019-08-12,1,PM25,3.322394097125
2019-08-13,4,PM10,7.89213541675
2019-08-13,4,PM25,6.418676178249999
2019-08-13,3,PM10,12.744070853777778
2019-08-13,3,PM25,7.558068807777777
2019-08-13,2,PM10,16.115794636222223
2019-08-13,2,PM25,7.984806766138888
2019-08-13,1,PM10,10.999444067875
2019-08-13,1,PM25,5.790567356125
2019-08-14,4,PM10,10.82568749925
2019-08-14,4,PM25,8.04880208425
2019-08-14,3,PM10,18.363686148666666
2019-08-14,3,PM25,8.887647651222222
2019-08-14,2,PM10,23.290797348416667
2019-08-14,2,PM25,12.376148973361111
2019-08-14,1,PM10,13.87642708375
2019-08-14,1,PM25,5.710914772375
2019-08-15,4,PM10,11.1016815475
2019-08-15,4,PM25,7.921508928250001
2019-08-15,3,PM10,19.69673611111111
2019-08-15,3,PM25,8.636207273
2019-08-15,2,PM10,22.627119970583337
2019-08-15,2,PM25,12.31968854663889
2019-08-15,1,PM10,9.9498125
2019-08-15,1,PM25,5.435636216125
2019-08-16,4,PM10,9.29968749925
2019-08-16,4,PM25,5.64739583425
2019-08-16,3,PM10,24.63678703588889
2019-08-16,3,PM25,9.831878033444445
2019-08-16,2,PM10,21.52153191130556
2019-08-16,2,PM25,9.689851421472222
2019-08-16,1,PM10,10.925576705000001
2019-08-16,1,PM25,4.43916952325
2019-08-17,4,PM10,11.50175
2019-08-17,4,PM25,7.58136458325
2019-08-17,3,PM10,24.243175926666666
2019-08-17,3,PM25,9.676376617555555
2019-08-17,2,PM10,20.496598429944445
2019-08-17,2,PM25,9.036120525444444
2019-08-17,1,PM10,11.62235937625
2019-08-17,1,PM25,5.80597362
2019-08-18,4,PM10,9.435260415
2019-08-18,4,PM25,5.80760416675
2019-08-18,3,PM10,18.14782971
2019-08-18,3,PM25,8.306083467333332
2019-08-18,2,PM10,20.653912792055554
2019-08-18,2,PM25,10.50597295775
2019-08-18,1,PM10,12.414390625
2019-08-18,1,PM25,5.6714137686249995
2019-08-19,4,PM10,39.6294062575
2019-08-19,4,PM25,6.01936458325
2019-08-19,3,PM10,42.276550925555554
2019-08-19,3,PM25,10.91350083711111
2019-08-19,2,PM10,20.639682238694444
2019-08-19,2,PM25,7.217412918527777
2019-08-19,1,PM10,8.483526041625
2019-08-19,1,PM25,2.853772436125
2019-08-20,4,PM10,5.437729167500001
2019-08-20,4,PM25,2.34363043475
2019-08-20,3,PM10,19.065045876666666
2019-08-20,3,PM25,5.963088763
2019-08-20,2,PM10,14.07909995686111
2019-08-20,2,PM25,5.179166078166666
2019-08-20,1,PM10,7.9755468753750005
2019-08-20,1,PM25,2.4060279268749998
2019-08-21,4,PM10,6.6065833325
2019-08-21,4,PM25,2.8155833335000002
2019-08-21,3,PM10,21.81918386222222
2019-08-21,3,PM25,6.611101932222223
2019-08-21,2,PM10,15.91935751213889
2019-08-21,2,PM25,5.26870286525
2019-08-21,1,PM10,7.66728645825
2019-08-21,1,PM25,1.526569182875
2019-08-22,4,PM10,10.373083332499998
2019-08-22,4,PM25,3.3625814395
2019-08-22,3,PM10,20.087587962222223
2019-08-22,3,PM25,6.988504749666666
2019-08-22,2,PM10,20.81511768977778
2019-08-22,2,PM25,7.008060687916666
2019-08-22,1,PM10,13.826110417125
2019-08-22,1,PM25,3.88811589675
2019-08-23,4,PM10,12.406135415000001
2019-08-23,4,PM25,6.7943043475
2019-08-23,3,PM10,32.592933172222224
2019-08-23,3,PM25,14.753908255555555
2019-08-23,2,PM10,25.401373000083332
2019-08-23,2,PM25,10.194804147083333
2019-08-23,1,PM10,17.537546875
2019-08-23,1,PM25,6.68843850875
2019-08-24,4,PM10,11.9998854175
2019-08-24,4,PM25,7.113447917499999
2019-08-24,3,PM10,31.84883333333333
2019-08-24,3,PM25,11.711875067777777
2019-08-24,2,PM10,29.15545360286111
2019-08-24,2,PM25,12.997343056833333
2019-08-24,1,PM10,16.06591145875
2019-08-24,1,PM25,7.418463542875
2019-08-25,4,PM10,13.514
2019-08-25,4,PM25,9.12121875
2019-08-25,3,PM10,31.109976853333333
2019-08-25,3,PM25,10.955188403000001
2019-08-25,2,PM10,26.71787037083333
2019-08-25,2,PM25,10.33388099711111
2019-08-25,1,PM10,13.99736458375
2019-08-25,1,PM25,5.700911652375
2019-08-26,4,PM10,9.1599375
2019-08-26,4,PM25,6.06027083425
2019-08-26,3,PM10,27.180023147777778
2019-08-26,3,PM25,11.571235877
2019-08-26,2,PM10,15.135510548805554
2019-08-26,2,PM25,6.365832739972222
2019-08-26,1,PM10,8.58369791575
2019-08-26,1,PM25,3.5602212410000003
2019-08-27,4,PM10,7.697802085
2019-08-27,4,PM25,4.60864583425
2019-08-27,3,PM10,22.43063425888889
2019-08-27,3,PM25,9.365569637
2019-08-27,2,PM10,11.176600931972223
2019-08-27,2,PM25,5.703024180722222
2019-08-27,1,PM10,9.31357291625
2019-08-27,1,PM25,4.64325852325
2019-08-28,4,PM10,9.298197915
2019-08-28,4,PM25,6.35550000075
2019-08-28,3,PM10,22.16097222222222
2019-08-28,3,PM25,8.023555591888888
2019-08-28,2,PM10,13.683019560750001
2019-08-28,2,PM25,6.753459823527778
2019-08-28,1,PM10,9.36613247275
2019-08-28,1,PM25,3.95259585275
2019-08-29,4,PM10,5.14897916675
2019-08-29,4,PM25,3.7458229175
2019-08-29,3,PM10,21.77378703777778
2019-08-29,3,PM25,7.401718171444445
2019-08-29,2,PM10,13.827695688527777
2019-08-29,2,PM25,6.5268796899999995
2019-08-29,1,PM10,8.155140625875
2019-08-29,1,PM25,2.519275327
2019-08-30,4,PM10,3.929267629
2019-08-30,4,PM25,3.3699791667500003
2019-08-30,3,PM10,7.924620370333333
