date,dayFreq,active_fires,cum_area
2019-11-05,1,27,2164458.086811204
2019-11-06,4,31,2175617.5010330067
2019-11-07,5,33,2213351.217937384
2019-11-08,0,31,2213351.217937384
2019-11-09,1,32,2213351.224761541
2019-11-10,0,30,2213351.224761541
2019-11-11,8,33,2213389.951418748
2019-11-12,1,31,2213390.0590925277
2019-11-13,1,31,2236223.5626630364
2019-11-14,0,28,2236223.5626630364
2019-11-15,1,27,2249350.392715182
2019-11-16,0,25,2249350.392715182
2019-11-17,0,25,2249350.392715182
2019-11-18,0,24,2249350.392715182
2019-11-19,0,24,2249350.392715182
2019-11-20,3,23,2251915.227863189
2019-11-21,2,23,2251915.4148482224
2019-11-22,12,32,2460976.255570348
2019-11-23,2,32,2460976.9849684727
2019-11-24,13,39,2681713.730537955
2019-11-25,19,54,2933709.978401758
2019-11-26,18,68,3552679.1031937893
2019-11-27,5,71,3581241.7797491285
2019-11-28,3,68,3581408.1960781068
2019-11-29,2,69,3582656.8499026247
2019-11-30,2,67,3582661.4831587467
2019-12-01,6,64,3665922.315399301
2019-12-02,4,65,3666459.3154072794
2019-12-03,2,60,3742628.2664753003
2019-12-04,5,59,3752828.66776295
2019-12-05,2,58,3754771.058385469
2019-12-06,2,57,3756376.5700662783
2019-12-07,0,55,3756376.5700662783
2019-12-08,1,54,3756376.570068764
2019-12-09,2,54,3756430.5381140327
2019-12-10,10,59,3840578.752656931
2019-12-11,6,62,3848499.7005397435
2019-12-12,4,62,4146301.542181225
2019-12-13,3,64,4156462.240518947
2019-12-14,0,62,4156462.240518947
2019-12-15,1,63,4157736.192900594
2019-12-16,1,63,4159608.768373863
2019-12-17,1,60,4159609.077230306
2019-12-18,0,58,4159609.077230306
2019-12-19,2,60,4179505.9886873513
2019-12-20,1,61,4179582.256351955
2019-12-21,1,62,4301534.524173645
2019-12-22,0,61,4301534.524173645
2019-12-23,0,60,4301534.524173645
2019-12-24,0,56,4301534.524173645
2019-12-25,2,55,4301535.506981572
2019-12-26,4,56,4301683.920864557
2019-12-27,4,57,4639824.580209488
2019-12-28,4,59,4890816.230595259
2019-12-29,2,58,4890941.377092489
2019-12-30,4,60,5189681.11832858
2019-12-31,3,61,5207674.6387972385
2020-01-01,2,60,5227587.023926622
2020-01-02,9,69,5233295.7940600915
2020-01-03,4,72,5257528.712556569
2020-01-04,4,74,5306287.693326481
2020-01-05,2,73,5306334.5765381055
2020-01-06,7,80,5306351.280759124
2020-01-07,5,79,5306364.243125319
2020-01-08,5,77,5310114.385443968
2020-01-09,13,83,5327243.447020318
2020-01-10,1,83,5329426.523333982
2020-01-11,0,78,5329426.523333982
2020-01-12,0,73,5329426.523333982
2020-01-13,0,70,5329426.523333982
2020-01-14,1,71,5329439.016786041
2020-01-15,1,63,5329439.139930997
2020-01-16,0,62,5329439.139930997
2020-01-17,2,61,5329439.548241132
2020-01-18,1,58,5329439.569994663
2020-01-19,0,54,5329439.569994663
2020-01-20,1,53,5329450.931190351
2020-01-21,1,52,5332523.113728409
2020-01-22,2,52,5361614.775209356
2020-01-23,2,53,5361626.11572495
2020-01-24,0,44,5361626.11572495
2020-01-25,2,44,5373878.672004287
2020-01-26,3,46,5461715.248900779
2020-01-27,2,46,5461718.373999362
2020-01-28,2,44,5467257.744673025
2020-01-29,0,42,5467257.744673025
2020-01-30,1,38,5479686.990651497
2020-01-31,0,36,5479686.990651497
2020-02-01,2,37,5479687.006770929
2020-02-02,2,38,5484345.383671851
2020-02-03,3,38,5493847.497223253
2020-02-04,0,37,5493847.497223253
2020-02-05,0,36,5493847.497223253
2020-02-06,0,30,5493847.497223253
2020-02-07,0,29,5493847.497223253
2020-02-08,0,29,5493847.497223253
2020-02-09,0,27,5493847.497223253
2020-02-10,0,21,5493847.497223253
2020-02-11,0,21,5493847.497223253
2020-02-12,0,20,5493847.497223253
2020-02-13,0,20,5493847.497223253
2020-02-14,0,20,5493847.497223253
2020-02-15,0,18,5493847.497223253
2020-02-16,0,16,5493847.497223253
2020-02-17,0,16,5493847.497223253
2020-02-18,0,16,5493847.497223253
2020-02-19,0,15,5493847.497223253
2020-02-20,0,15,5493847.497223253
2020-02-21,0,15,5493847.497223253
2020-02-22,0,15,5493847.497223253
2020-02-23,0,15,5493847.497223253
2020-02-24,0,14,5493847.497223253
2020-02-25,0,14,5493847.497223253
2020-02-26,0,13,5493847.497223253
2020-02-27,0,12,5493847.497223253
2020-02-28,0,12,5493847.497223253
2020-02-29,0,12,5493847.497223253
2020-03-01,0,12,5493847.497223253
2020-03-02,0,8,5493847.497223253
2020-03-03,0,8,5493847.497223253
2020-03-04,0,4,5493847.497223253
2020-03-05,0,2,5493847.497223253
2020-03-06,0,0,5493847.497223253
2020-03-07,0,0,5493847.497223253
2020-03-08,0,0,5493847.497223253
2020-03-09,0,0,5493847.497223253
2020-03-10,0,0,5493847.497223253
2020-03-11,1,0,5493849.858691872
2020-03-12,1,1,5493886.899251088
2020-03-13,0,1,5493886.899251088
2020-03-14,0,1,5493886.899251088
2020-03-15,0,1,5493886.899251088
2020-03-16,0,1,5493886.899251088
2020-03-17,0,1,5493886.899251088
2020-03-18,0,1,5493886.899251088
2020-03-19,0,1,5493886.899251088
2020-03-20,0,1,5493886.899251088
2020-03-21,0,1,5493886.899251088
2020-03-22,0,1,5493886.899251088
2020-03-23,0,1,5493886.899251088
2020-03-24,0,1,5493886.899251088
2020-03-25,0,1,5493886.899251088
2020-03-26,0,1,5493886.899251088
2020-03-27,0,1,5493886.899251088
2020-03-28,0,1,5493886.899251088
2020-03-29,0,1,5493886.899251088
2020-03-30,0,0,5493886.899251088
2020-03-31,0,0,5493886.899251088
2020-04-01,0,0,5493886.899251088
2020-04-02,0,0,5493886.899251088
2020-04-03,0,0,5493886.899251088
2020-04-04,0,0,5493886.899251088
2020-04-05,0,0,5493886.899251088
2020-04-06,0,0,5493886.899251088
2020-04-07,0,0,5493886.899251088
2020-04-08,0,0,5493886.899251088
2020-04-09,0,0,5493886.899251088
2020-04-10,0,0,5493886.899251088
2020-04-11,0,0,5493886.899251088
2020-04-12,0,0,5493886.899251088
2020-04-13,0,0,5493886.899251088
2020-04-14,0,0,5493886.899251088
2020-04-15,0,0,5493886.899251088
2020-04-16,0,0,5493886.899251088
2020-04-17,0,0,5493886.899251088
2020-04-18,0,0,5493886.899251088
2020-04-19,0,0,5493886.899251088
2020-04-20,0,0,5493886.899251088
2020-04-21,0,0,5493886.899251088
2020-04-22,1,1,5493886.899780048
2020-04-23,1,2,5494145.568187683
2020-04-24,0,1,5494145.568187683
2020-04-25,0,1,5494145.568187683
2020-04-26,0,1,5494145.568187683
2020-04-27,0,1,5494145.568187683
2020-04-28,0,1,5494145.568187683
2020-04-29,0,1,5494145.568187683
2020-04-30,0,0,5494145.568187683
2020-05-01,0,0,5494145.568187683
2020-05-02,0,0,5494145.568187683
2020-05-03,0,0,5494145.568187683
