Site_Id,Date,SiteName,Longitude,Latitude,param,value
33,2019-08-06,RANDWICK,151.242802,-33.931776,PM2.5,14.04233333
33,2019-08-07,RANDWICK,151.242802,-33.931776,PM10,21.71766667
33,2019-08-07,RANDWICK,151.242802,-33.931776,PM2.5,9.124090909
33,2019-08-08,RANDWICK,151.242802,-33.931776,PM10,22.15233333
33,2019-08-08,RANDWICK,151.242802,-33.931776,PM2.5,7.987285714
33,2019-08-09,RANDWICK,151.242802,-33.931776,PM10,27.47358333
33,2019-08-09,RANDWICK,151.242802,-33.931776,PM2.5,7.355733333
33,2019-08-10,RANDWICK,151.242802,-33.931776,PM10,10.36458333
33,2019-08-10,RANDWICK,151.242802,-33.931776,PM2.5,7.972076923
33,2019-08-11,RANDWICK,151.242802,-33.931776,PM10,6.6805
33,2019-08-11,RANDWICK,151.242802,-33.931776,PM2.5,2.323333333
33,2019-08-12,RANDWICK,151.242802,-33.931776,PM10,13.798125
33,2019-08-12,RANDWICK,151.242802,-33.931776,PM2.5,7.6753125
33,2019-08-13,RANDWICK,151.242802,-33.931776,PM10,15.23129167
33,2019-08-13,RANDWICK,151.242802,-33.931776,PM2.5,5.327083333
33,2019-08-14,RANDWICK,151.242802,-33.931776,PM10,17.763375
33,2019-08-14,RANDWICK,151.242802,-33.931776,PM2.5,7.738818182
33,2019-08-15,RANDWICK,151.242802,-33.931776,PM10,22.663875
33,2019-08-15,RANDWICK,151.242802,-33.931776,PM2.5,12.51616667
33,2019-08-16,RANDWICK,151.242802,-33.931776,PM10,16.37141667
33,2019-08-16,RANDWICK,151.242802,-33.931776,PM2.5,6.819863636
33,2019-08-17,RANDWICK,151.242802,-33.931776,PM10,15.10616667
33,2019-08-17,RANDWICK,151.242802,-33.931776,PM2.5,7.581
33,2019-08-18,RANDWICK,151.242802,-33.931776,PM10,20.880125
33,2019-08-18,RANDWICK,151.242802,-33.931776,PM2.5,9.718956522
33,2019-08-19,RANDWICK,151.242802,-33.931776,PM10,21.64683333
33,2019-08-19,RANDWICK,151.242802,-33.931776,PM2.5,7.995105263
33,2019-08-20,RANDWICK,151.242802,-33.931776,PM10,13.6935
33,2019-08-20,RANDWICK,151.242802,-33.931776,PM2.5,5.4199
33,2019-08-21,RANDWICK,151.242802,-33.931776,PM10,13.60425
33,2019-08-21,RANDWICK,151.242802,-33.931776,PM2.5,2.528952381
33,2019-08-22,RANDWICK,151.242802,-33.931776,PM10,24.71454167
33,2019-08-22,RANDWICK,151.242802,-33.931776,PM2.5,7.424363636
33,2019-08-23,RANDWICK,151.242802,-33.931776,PM10,28.71695833
33,2019-08-23,RANDWICK,151.242802,-33.931776,PM2.5,9.268571429
33,2019-08-24,RANDWICK,151.242802,-33.931776,PM10,26.70404167
33,2019-08-24,RANDWICK,151.242802,-33.931776,PM2.5,14.65625
33,2019-08-25,RANDWICK,151.242802,-33.931776,PM10,26.50308333
33,2019-08-25,RANDWICK,151.242802,-33.931776,PM2.5,8.083375
33,2019-08-26,RANDWICK,151.242802,-33.931776,PM10,10.166
33,2019-08-26,RANDWICK,151.242802,-33.931776,PM2.5,4.277631579
33,2019-08-27,RANDWICK,151.242802,-33.931776,PM10,10.63266667
33,2019-08-27,RANDWICK,151.242802,-33.931776,PM2.5,5.037318182
33,2019-08-28,RANDWICK,151.242802,-33.931776,PM10,12.66545833
33,2019-08-28,RANDWICK,151.242802,-33.931776,PM2.5,9.840952381
33,2019-08-29,RANDWICK,151.242802,-33.931776,PM10,13.96958333
33,2019-08-29,RANDWICK,151.242802,-33.931776,PM2.5,4.976409091
33,2019-08-30,RANDWICK,151.242802,-33.931776,PM10,16.74008333
33,2019-08-30,RANDWICK,151.242802,-33.931776,PM2.5,5.015869565
33,2019-08-31,RANDWICK,151.242802,-33.931776,PM10,16.15175
33,2019-08-31,RANDWICK,151.242802,-33.931776,PM2.5,6.224277778
33,2019-09-01,RANDWICK,151.242802,-33.931776,PM10,12.0255
33,2019-09-01,RANDWICK,151.242802,-33.931776,PM2.5,8.292238095
33,2019-09-02,RANDWICK,151.242802,-33.931776,PM10,17.81275
33,2019-09-02,RANDWICK,151.242802,-33.931776,PM2.5,9.858863636
33,2019-09-03,RANDWICK,151.242802,-33.931776,PM10,17.36808333
33,2019-09-03,RANDWICK,151.242802,-33.931776,PM2.5,7.4506
33,2019-09-04,RANDWICK,151.242802,-33.931776,PM10,18.67679167
33,2019-09-04,RANDWICK,151.242802,-33.931776,PM2.5,8.490272727
33,2019-09-05,RANDWICK,151.242802,-33.931776,PM10,23.79325
33,2019-09-05,RANDWICK,151.242802,-33.931776,PM2.5,7.26215
33,2019-09-06,RANDWICK,151.242802,-33.931776,PM10,28.58575
33,2019-09-06,RANDWICK,151.242802,-33.931776,PM2.5,9.139695652
33,2019-09-07,RANDWICK,151.242802,-33.931776,PM10,9.105041667
33,2019-09-07,RANDWICK,151.242802,-33.931776,PM2.5,5.644190476
33,2019-09-08,RANDWICK,151.242802,-33.931776,PM10,6.16525
33,2019-09-08,RANDWICK,151.242802,-33.931776,PM2.5,7.055823529
33,2019-09-09,RANDWICK,151.242802,-33.931776,PM10,14.102125
33,2019-09-09,RANDWICK,151.242802,-33.931776,PM2.5,6.017555556
33,2019-09-10,RANDWICK,151.242802,-33.931776,PM10,19.32083333
33,2019-09-10,RANDWICK,151.242802,-33.931776,PM2.5,6.330478261
33,2019-09-11,RANDWICK,151.242802,-33.931776,PM10,21.02504167
33,2019-09-11,RANDWICK,151.242802,-33.931776,PM2.5,8.543391304
33,2019-09-12,RANDWICK,151.242802,-33.931776,PM10,21.24152174
33,2019-09-12,RANDWICK,151.242802,-33.931776,PM2.5,6.98626087
33,2019-09-13,RANDWICK,151.242802,-33.931776,PM10,31.485875
